Timestamp,Station_ID,City,Total_Ports,Occupied_Ports,Queue_Length,Hour,Day_of_Week,Is_Weekend,Traffic_Level,Weather,Battery_Demand,Availability_After_15_Min,Waiting_Time_Minutes
2026-01-01 00:00:00,ST113,Pune,8,0,0,0,Thursday,0,Low,Sunny,90,1,0
2026-01-01 00:15:00,ST117,Pune,10,5,0,0,Thursday,0,Low,Rainy,40,1,0
2026-01-01 00:30:00,ST114,Nashik,4,2,0,0,Thursday,0,Low,Rainy,92,1,0
2026-01-01 00:45:00,ST108,Mumbai,4,2,0,0,Thursday,0,Low,Sunny,47,1,0
2026-01-01 01:00:00,ST107,Mumbai,10,0,0,1,Thursday,0,Low,Cloudy,78,1,0
2026-01-01 01:15:00,ST113,Mumbai,8,0,0,1,Thursday,0,Low,Cloudy,20,1,0
2026-01-01 01:30:00,ST114,Nashik,6,0,0,1,Thursday,0,Low,Sunny,93,1,0
2026-01-01 01:45:00,ST106,Pune,6,3,0,1,Thursday,0,Low,Rainy,75,1,0
2026-01-01 02:00:00,ST114,Nagpur,4,2,0,2,Thursday,0,Low,Cloudy,96,1,0
2026-01-01 02:15:00,ST112,Pune,4,2,0,2,Thursday,0,Low,Rainy,45,1,0
2026-01-01 02:30:00,ST107,Mumbai,6,1,0,2,Thursday,0,Low,Rainy,80,1,0
2026-01-01 02:45:00,ST117,Nashik,6,0,0,2,Thursday,0,Low,Sunny,39,1,0
2026-01-01 03:00:00,ST104,Nagpur,10,4,0,3,Thursday,0,Low,Sunny,57,1,0
2026-01-01 03:15:00,ST113,Mumbai,6,0,0,3,Thursday,0,Low,Cloudy,39,1,0
2026-01-01 03:30:00,ST101,Mumbai,4,0,0,3,Thursday,0,Low,Cloudy,33,1,0
2026-01-01 03:45:00,ST112,Pune,10,1,0,3,Thursday,0,Low,Sunny,41,1,0
2026-01-01 04:00:00,ST111,Nagpur,4,0,0,4,Thursday,0,Low,Rainy,49,1,0
2026-01-01 04:15:00,ST109,Pune,4,1,0,4,Thursday,0,Low,Rainy,78,1,0
2026-01-01 04:30:00,ST104,Nagpur,8,2,0,4,Thursday,0,Low,Rainy,21,1,0
2026-01-01 04:45:00,ST115,Mumbai,4,1,0,4,Thursday,0,Low,Sunny,28,1,0
2026-01-01 05:00:00,ST107,Pune,6,2,0,5,Thursday,0,Low,Cloudy,65,1,0
2026-01-01 05:15:00,ST112,Mumbai,10,5,0,5,Thursday,0,Low,Cloudy,96,1,0
2026-01-01 05:30:00,ST108,Pune,4,2,0,5,Thursday,0,Low,Cloudy,75,1,0
2026-01-01 05:45:00,ST119,Pune,8,1,0,5,Thursday,0,Low,Sunny,27,1,0
2026-01-01 06:00:00,ST111,Mumbai,6,3,0,6,Thursday,0,Low,Rainy,58,1,0
2026-01-01 06:15:00,ST115,Mumbai,6,3,0,6,Thursday,0,Low,Cloudy,89,1,0
2026-01-01 06:30:00,ST103,Nashik,6,3,0,6,Thursday,0,Low,Cloudy,95,1,0
2026-01-01 06:45:00,ST100,Pune,8,2,0,6,Thursday,0,Low,Cloudy,92,1,0
